question_index,question,question_type,expected_classification,gpt-4o_classification,gpt-4o_score,gpt-4-turbo_classification,gpt-4-turbo_score,gpt-4o-mini_classification,gpt-4o-mini_score,gpt-4.1-mini_classification,gpt-4.1-mini_score,gpt-4.1-nano_classification,gpt-4.1-nano_score
152,"During breastfeeding, can I store my milk and give to the baby later?",original,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A
153,Mam mere pat m bhut gash typ bnd rhi h pat phool rha h,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
154,How I will know it's a baby  boy or a girl,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
155,Can you explain all the details to me by sharing them in Hindi?,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
156,"May I drink tea which is made of Tulsi, ginger ?",original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A
157,Mera 8 manth h mujhe normal delivery ke liye upaye btao,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
158,Mere per me bahut sualing aa rahi he mujhe 1st month he pregnancy ka,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
159,Mera period parcel aata hai jab first din aata use dene ko black bleeding Hoti hai per uske paanchvein chhathe din se black bleeding Hoti hai bich mein meri red bleeding hoti,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
160,Mera 8 month start he or Mera peth bhot tait ho raha hai,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
161,What food should I eat to support my pregnancy and I need daily reminders for healthy lifecycle during this time,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
162,What routine tests should I take during pregnancy? And what tips do you have for staying healthy during pregnancy?,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A
163,1month complete ho gaya he pet me halka halka pain hota he,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
164,Mera pehla baby operation se hua tha abhi woh next month 2saal ki hui thi,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
165,Aathven mahine mein bacche acche se ghoom raha hai iska matlab jaldi delivery hogi,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
166,What danger signs can I look out for during my pregnancy?,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
167,Is it that important for me to take the IFA supplement?,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
168,My ankles are swollen and I have a really bad headache,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
169,My due date is 23 November but today 25 November.still I didn't got lower pain,original,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
170,Kya pregnancy me dry fruits kha skte he dudh ke sath,original,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A
171,Sab ki respect kre ache se achi padhai kre vo or uska sehat achi rahe,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
172,3 Rd month complete hone pr kon kon se dry fruits kha sakhte hai,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
173,How to know that my baby delivery time has come what are the symptoms,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
174,Mera baby ka right  kidney scene me nei dekh roha hey aur pet me pani nei pouch roha hey sas lene toklip ho roha hey doctor bola,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
175,"Actually I am having dry cough, will it be affecting my baby's health?",original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
176,In which month I will feel the movement of my baby?,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
177,Can a pregnancy patient take ges tablet during 7 months pregnancy,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
178,Mujhe apna pregnancy month pata Krna h ki konsa month chl rha h,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
179,"I am in my week 7 
What should I eat and do",original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
180,Washing clothes by hands in 8th month of pregnancy is safe,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
181,Hospital kab jaye 8th mant chal raha hai abi hospital nhi gaye 7th mant mein hi gai thi,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
182,I am looking for family planning methods and clinics near me,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
183,Mujhe phela baccha opreshan se hua tha aur ye bhi opreshan se hi hoga na,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
184,Bs hm normal delivery chahte h to uske liye abhi se kya kre,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
185,Meri age 36 complete he to normal deliver ho skti he kya?,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A
186,"My last menstrual period date is 2nd August..
When I have to go for anomaly scan",original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
187,mujhe thyroid h to kya isse bhi breast milk pe asar hota h,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A
188,Abhi mujhe 7week pregnancy mai pain and acidity hai ye normal hai,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
189,Ye jo center ki loction h ye free of cost hai,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
190,I'm 30wks and 6days pregnant today and doctor says that baby in a breech position,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A
191,Mam mera weight kalm ho raha h and haemoglobin 11.5 h,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
192,Should i take HEAMUP FCM injection??? It's good for me ??,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
193,High resistance flow in 5th month pregnancy .This is the  problem.,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
194,So my periods is 3days late and I took a pregnancy test one line was dark and other one was fainted. So am I pregnant or not?,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
195,I also had a very little bleeding. So what to do?,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
196,Mujhe yah puchna he ki mere hand me bhot dard ho raha he kya ye pregnency me normal he,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
197,Mene calcium iron tablet nhi li abi tak 3 month complete hone wala hai,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
198,Level 2  ultrasound kya hota hai or kis week me karna hota hai pregnancy me,original,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
199,Mujhe weekness lag rahi hai or kuch time bethne me kamar me dard hota or need bhi bhut ati hai,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
200,breech position m h baby to normal delivery ho skti h,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
201,Please tell me if GMCH medical OPD is closed or open on 1st January,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
202,I'm pregnant. My last period was on 16 Oct 2024. Since how many weeks I'm pregnant ?,original,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
203,Is it harmful for the baby if dermoid cyst is available in the left overy?,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A
204,"How to overcome the problems like appendicitis, dermoid cyst during pregnancy?",original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
205,Pregnancy ke 4 month me agar white blood ja rahe ho to koi problem ho sakta hai kya?,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A
206,Pehla baccha operation se hua tha 5saal ho gye 2bacche me normal ki chans nhi rehti,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
207,Pregnancy mein kis time Sona chahie kis time khana chahie time table bataiye,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
208,I am 32 weeks. What should I be looking out for?,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
209,"Bachche ki heart beat or mother ki heart beat badhi hui he ,normal delivery me koi problem to nhi hoti he.or normal delivery ke kitne chance hote hei isme",original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
210,What should I eat in my 18 week pregnancy??? Pls required me a good brand juice..,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
211,Ninth month me pregnancy diet kya hona chahiye ki baby weight accha rahe or delivery mein pareshani na ho,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
212,Mujhe aisa kya khana chahie ki mera baccha swasthya aur color fair aur healthy ho,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
213,Baby is good condition but i'm not good etching my heart penful,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
214,Actually i m saying i m pregnant now the time 7th months running and baby weight is 1kg 200 gram than how to improve,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
215,These days the smells of the food irritate me . Is it normal,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
216,Agar bachhe ke gale me Amlincle corde ho to kya normal delivery mumkin hai,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A
217,Abhi mera 8 month complete hone wala hi kya mujhe aayran celciam ki medicine Leni chahiye,original,N/A,VAGUE,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A
218,C section delivery hai aur third hai isiliye tension hoti hai,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
219,Mera phela baby c section se he to dusra bhi usi se hoga,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
220,2.5 months hogae h pregnancy ko but vomet ya kch ni hora mjhe bss upt positive h,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
221,3rd month complete hone k baad sex kr skte he ya nhi,original,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A
222,Blood pressure Ke Karan Mere bacche ki growth theek se ho rahi hai ya na ho rahi hai is bare mein Chinta rahti hai,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
223,If my LMP date was 15/05/2024 than what is my delivery date ?,original,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
224,Coomb test ngtv h anti d lgwana zruri nhi h ky,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
225,Mera 9 month complete ho gaya hai mujhe kab dilevery hoge,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
226,Mere paid me Dard he or vomiting bhi bhot ho rahi he kuch khaya nahi ja raha,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
227,Mujhe typhoid ho gya h qa iska asr mere bachche ki growth pr bhi pdega or  me qa karu ki typhoid jldi theek ho Jaye?,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
228,Mere 3 mahine hone wale Hain Mera    pet to dikhta nahin Hai,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
229,Mujhe tension bhout hoti h or rona aata h isse mere bache pr koi asr toh nhi hoga,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
230,Bacchy ka movement kidhar or kse pta chalta hai is mahine me?,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
231,I want to focus on my baby brain and inner strength,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
232,Heart rate 147 aye to kya kare agar pulse tez ho to,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
233,Baccha ghom nahe Raha he 5 va mahena chal raha he,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
234,"The trisomy 21 result has come to be intermediate 
I am afraid",original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
235,Can the placenta position move if you have a complete previa,original,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
236,Can the placenta position move if you have a complete previa,original,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
237,Mujhe hospital me appointment Leni hai ky ap mujhe waha ka customer care number de sakte hai,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
238,Bachhe ke growth ke liye sahi nutrition kya hoga 8th month me,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
239,How should I connect with my baby? Do my thoughts and actions have any reaction to my baby's formation?,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
240,After baby birth what medicine should be continue by the mother?,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
241,What are the medicine or injection should be given to the baby after birth in the 1st month.?,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
242,C section delivery ke kitne din baad chhuti ho jati hai,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
243,Pregnancy me White discharge hona sahi h ya nhi bataye please,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
244,my last bleeding date 31 It was August and now I am in my sixth month. What should I do now?,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
245,13 October period aya to 4 months chal rHa he bacche ki giroth kitni hogi ab,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
246,Mere twins baby hai 5 month lgne wala hai but baby movment nhi ho rhi hai,original,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A,VAGUE,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
247,6 mahina mein bacche ka kitna gram weight hona joruri hai pregnancy mein,original,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,WELL_SPECIFIED,N/A,VAGUE,N/A
248,Now  it's going to be 2 half months what things  I have to take for good health of the baby,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
249,Me and my baby Uske bare Swasth Rahen Uske bare mein bataiye,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
250,White discharge thick or jelly jesa ho to kyaa karna chahiye,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
251,Ji  bachch 6 month ka he or nurse bol rhi thi ki 6 month ke hisab he bhach chota he,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
252,5 month complete hone ko h par tumy size kam h,original,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A,VAGUE,N/A
253,Is the weight normal at this stage of development?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
254,"At times, I feel like there's less of that something... is that normal or should I be concerned?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
255,I'm experiencing some discomfort on my skin... Any suggestions?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
256,Kya mai is time ye fruit khana theek hoga?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
257,Agar bache ko thandi lage toh uska kya karein?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
258,Kya iss situation mein bleeding hona sahi hai?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
259,Kya kisi health issue ka effect breastfeeding par padta h?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
260,"It has been some time since it started, but I'm not feeling the usual signs. Is this normal?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
261,हाल ही में मैंने एक समस्या देखी है जहाँ अगर मैं बहुत समय तक एक ही स्थिति में रहता हूँ तो कुछ असुविधाएँ महसूस होती हैं। क्या कोई उपाय या सुझाव है जो इस स्थिति में मदद कर सकता है?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
262,"अस्वस्थ महसूस कर रहा हूँ। इसका किसी पर कोई असर नहीं होगा, है ना?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
263,There's been an unusual occurrence happening recently. Can anyone suggest why this might be?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
264,"Early on in this situation with someone, there seems to be some uncertainty about a certain health sign.",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
265,I'm noticing some unusual changes despite following my prescribed treatment. Any ideas why?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
266,I'm experiencing intense discomfort in my lower area and other related issues.,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
267,"During a recent appointment, I was informed about an issue regarding growth. What should I consider doing?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
268,"I seem to be experiencing some discomfort occasionally, mostly later in the day.",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
269,I'm uncomfortable at night... What should I consider?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
270,I've noticed some discomfort on my skin... What steps should I take?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
271,What should I consider including in a diet to ensure good nutrition and well-being?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
272,I'm interested in exploring options and places for a certain kind of personal planning.,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
273,What are the various ways to handle that situation I'm going to face?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
274,What is the size of a child around a certain time before their first year?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
275,What can be done to help avoid any issues for the baby after birth?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
276,I avoid certain foods due to their smell; will this impact my child's nutrition?,vague,VAGUE,WELL_SPECIFIED,0,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
277,I'm approaching a significant time soon and would like some guidance on activities that could be beneficial during this period. Any suggestions?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
278,I'm experiencing some discomfort at night that affects my ability to rest. How can I deal with this issue?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
279,Partner relation during pregnancy impact child?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
280,Can experiencing a slight increase in temperature at a certain stage of pregnancy affect the baby in any way?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
281,Not. Avoiding treatments while feeling unwell during a part of pregnancy...is it harmful?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
282,What should I consider changing in my diet to improve well-being?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
283,"I've heard something about feeling movements in a specific area, but I notice movements in different areas—should I be concerned about this?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
284,Are there any issues if something isn't in the right position during development?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
285,I'm feeling some mild discomfort on one side of my stomach. Could this be typical?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
286,I'm experiencing some discomfort and irritation. What can I do about it?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
287,What should I include in my diet for positive outcomes?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
288,I'm currently pregnant; when should I see a healthcare provider next?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,WELL_SPECIFIED,0
289,Which is better for me in terms of my well-being and physical state?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
290,"Jb kuch harkat hoti h to niche dard mehsoos hota h, kya ye theek hai?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
291,What are some things I should consider to prepare for a certain type of experience?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
292,Is it safe if things aren't positioned the way they should be during pregnancy?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
293,What noises might be noticeable to my child now? Will they become aware of them quickly?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
294,"If I touch my stomach, does it sense that?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
295,I'm dealing with a health issue related to an imbalance in my system. What complications might arise from this?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
296,There seems to be a lack of something in my system. What can help with that?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
297,Is it okay for me to eat certain types of food if I'm feeling weak?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
298,I'm experiencing a lot of discomfort in different areas of my body.,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
299,"I'm doing some activities daily, but it's very uncomfortable; any ideas for relief?",vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
300,I'm curious about ensuring good health and development for someone during an early stage of life. Could you provide some general guidance or a plan related to this?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
301,When is the right moment and place to receive what's needed? I haven't done it since this important life change.,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
302,Can you suggest things I might need at this stage?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
303,How can I tell that things are good for feeding time?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
304,Why do I feel discomfort when I'm sitting down?,vague,VAGUE,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1,VAGUE,1
